"Story","Title","Result","Date","Stability","Duration (s)"
"Booking crud test","This will Auth user","SUCCESS","2023-01-03T21:09:40.360Z[Europe/London]","0.0","4.28"
"Booking crud test","This test will create a new Booking","SUCCESS","2023-01-03T21:09:44.682Z[Europe/London]","0.0","0.78"
"Booking crud test","This test will Update the booking","SUCCESS","2023-01-03T21:09:45.463Z[Europe/London]","0.0","0.8"
"Booking crud test","This test will Deleted the booking","SUCCESS","2023-01-03T21:09:46.259Z[Europe/London]","0.0","1.13"
